,Station_Id,Name,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,Unnamed: 9,Latitude,Longitude
29,TVLC1,AL TAHOE-SIMON SMITH, 1924 meters,snowfall,2006-02-28 15,76.2,mm,24.0,hours,,38.9381,-119.9803
30,SNOW2,SNOWSHOE,1452 meters,snowfall,2006-02-28 11,76.2,mm,24.0,hours,,38.4239,-79.9942
31,PHIW2,TYGART RIVER,390 meters,snowfall,2006-02-28 12,76.2,mm,24.0,hours,,39.1492,-80.0372
32,BPTC1,BRIDGEPORT,1972 meters,snowfall,2006-02-28 16,76.2,mm,24.0,hours,,38.2575,-119.2286
33,GRMP1,"GRAMPIAN, PA",460 meters,snowfall,2006-02-28 13,63.5,mm,24.0,hours,,40.9666,-78.5871
34,ROWW2,ROWLESBURG,432 meters,snowfall,2006-02-28 12,63.5,mm,24.0,hours,,39.3422,-79.6706
35,CHLN6,CHARLOTTE,112 meters,snowfall,2006-02-28 12,60.96,mm,24.0,hours,,43.2338,-77.6223
36,ROC,"ROCHESTER,NY",182 meters,snowfall,2006-02-28 12,60.96,mm,24.0,hours,,43.1189,-77.6728
37,STWO1,MONROE FALLS,323 meters,snowfall,2006-02-28 11,58.42,mm,24.0,hours,,41.1311,-81.4
38,PAVN6,PAVILION,291 meters,snowfall,2006-02-28 12,55.88,mm,24.0,hours,,42.9295,-78.032
39,KTLO1,KIRTLAND-HOLDEN 2,313 meters,snowfall,2006-02-28 14,53.34,mm,24.0,hours,,41.6144,-81.2944
40,PLBP1,"2MI.S PHILIPSBURG,PA",524 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,40.8722,-78.2153
41,MECO1,UNKNOWN,299 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,41.4,-80.73
42,BRCO1,UNKNOWN,335 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,41.0,-80.98
43,VRCN2,VIRGINIA CITY,1932 meters,snowfall,2006-02-28 15,50.8,mm,24.0,hours,,39.3128,-119.6483
44,TRK,TRUCKEE AIRPORT,1798 meters,snowfall,2006-02-28 15,50.8,mm,24.0,hours,,39.3178,-120.1369
45,PLNW1,PLAIN,591 meters,snowfall,2006-03-01 03,50.8,mm,24.0,hours,,47.7811,-120.6508
46,PGVP1,"SWATARA CK,SEWAGE TREATMENT PLT",152 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,40.5333,-76.4
47,FISM1,"1MI.E FORT KENT,ME", 159 meters,snowfall,2006-02-28 13,50.8,mm,24.0,hours,,47.25,-68.5833
48,CLAP1,PINEY LAKE,338 meters,snowfall,2006-02-28 11,50.8,mm,24.0,hours,,41.1922,-79.4356
49,VAHW2,"VALLEY HEAD,WV",739 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,38.55,-80.0333
50,TAHC1,"TAHOE CITY, CA",1899 meters,snowfall,2006-02-28 16,50.8,mm,24.0,hours,,39.1677,-120.1429
51,CIPO1,2MI.N WESTFIELD CENTER,359 meters,snowfall,2006-02-28 10,50.8,mm,24.0,hours,,41.05,-81.9333
52,BTLP1,BUTLER,332 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,40.8406,-79.9175
53,BOCC1,BOCA,1699 meters,snowfall,2006-02-28 15,50.8,mm,24.0,hours,,39.3886,-120.0936
54,PICW2,"2MI.N PICKENS,WV",1170 meters,snowfall,2006-02-28 13,50.8,mm,24.0,hours,,38.6667,-80.2
55,MAXO1,UNKNOWN,366 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,40.87,-81.17
56,FWVW2,FELLOWSVILLE,423 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,39.3297,-79.8286
57,CRKP1,CREEKSIDE,320 meters,snowfall,2006-02-28 12,50.8,mm,24.0,hours,,40.6764,-79.1878
58,WOLP1,RAYSTOWN BR OF JUNIATA,361 meters,snowfall,2006-02-28 12,48.26,mm,24.0,hours,,40.0333,-78.5167
59,BNWW4,BONDURANT,1991 meters,snowfall,2006-03-01 01,45.72,mm,24.0,hours,,43.2067,-110.3914
60,BELW2,"BELINGTON,WV", 524 meters,snowfall,2006-02-28 12,45.72,mm,24.0,hours,,39.0269,-79.9403
61,PGLP1,GLENDALE LAKE,463 meters,snowfall,2006-02-28 11,45.72,mm,24.0,hours,,40.65,-78.55
62,MOSO1,DAM,277 meters,snowfall,2006-02-28 12,44.45,mm,24.0,hours,,41.3,-80.7667
63,CLMP1,CLERMONT 1 NW,633 meters,snowfall,2006-02-28 12,44.45,mm,24.0,hours,,41.6961,-78.4878
64,COSN6,CONSTANTIA 6N,188 meters,snowfall,2006-02-28 12,43.18,mm,24.0,hours,,43.3425,-76.0006
65,SPPP1,SLIPPERY ROCK,381 meters,snowfall,2006-02-28 12,40.64,mm,24.0,hours,,41.0556,-80.0606
66,TYGW2,DAM,365 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,39.3167,-80.0333
67,PRKP1,PERKASIE,198 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,40.38,-75.25
68,CRCP1,CROOKED CREEK DAM,246 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,40.7153,-79.5111
69,WYNP1,WAYNESBURG,286 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,39.8986,-80.1656
70,WRSN6,BATAVIA-OATKA CK NR,524 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,41.75,-78.1333
71,ALLO1,"ALLIANCE,OH", 326 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,40.9333,-81.1
72,WHCP1,WEST HICKORY,408 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,41.5764,-79.4106
73,LOWP1,LOWVILLE,457 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,42.03,-79.82
74,CSBP1,COOKSBURG,441 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,41.3575,-79.2172
75,CNMP1,CONEMAUGH DAM,268 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,40.4683,-79.3678
76,RLGW1,LONGMIRE RAINER NPS,841 meters,snowfall,2006-02-28 16,38.1,mm,24.0,hours,,46.7492,-121.8119
77,CHEO3,CHEMULT,1450 meters,snowfall,2006-02-28 16,38.1,mm,24.0,hours,,43.2264,-121.7894
78,BERO1,BERLIN LAKE DAM,121 meters,snowfall,2006-02-28 12,38.1,mm,24.0,hours,,41.0333,-81.0167
79,FDCP1,CROOKED CREEK LAKE,289 meters,snowfall,2006-02-28 13,38.1,mm,24.0,hours,,40.7136,-79.515
80,HOWO3,HOWARD PRAIRIE DAM,1392 meters,snowfall,2006-02-28 16,35.56,mm,24.0,hours,,42.2292,-122.3814
81,CLRP1,"CLARENCE,PA",423 meters,snowfall,2006-02-28 11,33.02,mm,24.0,hours,,41.05,-77.9333
82,SLMN6,"SALAMANCA,NY", 542 meters,snowfall,2006-02-28 12,30.48,mm,24.0,hours,,42.1167,-78.75
83,SOUO1,UNKNOWN,274 meters,snowfall,2006-02-28 12,30.48,mm,24.0,hours,,41.27,-80.94972
84,IAG,INTERNATIONAL APT,158 meters,snowfall,2006-02-28 12,30.48,mm,24.0,hours,,43.1014,-78.95
85,PRSI1,PRESTON,1463 meters,snowfall,2006-03-01 05,27.94,mm,24.0,hours,,42.0903,-111.8681
86,SSQP1,"SUSQUEHANNA,PA",310 meters,snowfall,2006-02-28 12,27.94,mm,24.0,hours,,41.95,-75.6
87,REPW1,REPUBLIC RS,796 meters,snowfall,2006-03-01 04,27.94,mm,24.0,hours,,48.6442,-118.7361
88,BFFP1,"BUFFALO MILLS,PA",399 meters,snowfall,2006-02-28 12,27.94,mm,24.0,hours,,39.95,-78.65
89,SPNN6,RESIDENCE OUTSIDE THE CITY,356 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.2167,-76.4667
90,LAPP1,"LAPORTE,PA",599 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,41.4247,-76.4925
91,GENN6,"3MI.W GENEVA,NY",218 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.8778,-77.0303
92,BKNW2,BUCKHANNON,422 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,39.0089,-80.2169
93,CVWP1,CHANDLER VALLEY 1SE,491 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,41.9301,-79.297
94,PDLM4,PAINESDALE,387 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,47.0344,-88.6692
95,FKNP1,FRANKLIN,301 meters,snowfall,2006-02-28 13,25.4,mm,24.0,hours,,41.3903,-79.8217
96,WRRP1,"WARREN,PA", 419 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,41.85,-79.1333
97,MTRP1,"MONTROSE,PA",475 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,41.8333,-75.8667
98,MECN6,MECKLENBURG,451 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.4333,-76.75
99,LSTP1,"1MI.SSE LEWISTOWN,PA",140 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,40.5833,-77.5667
100,GARO1,UNKNOWN,320 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,41.28,-81.1
101,FRKN6,"18MI.N OLEAN,NY",481 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.3333,-78.4667
102,GMSM4,GRAND MARAIS 13S,0 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,46.5094,-85.9631
103,LTVN6,"LITTLE VALLEY,NY",480 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.2464,-78.8
104,LAMO3,LAUREL MOUNTAIN,1093 meters,snowfall,2006-02-28 16,25.4,mm,24.0,hours,,44.9231,-123.575
105,COPN6,"1MI.S COOPERSTOWN,NY",365 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.7,-74.9167
106,BELO1,BELFAST, 254 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,39.0619,-83.5317
107,ATAU1,ALTA,2660 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,40.5906,-111.6369
108,ALPM4,5.5MI.NNW FRM ALPENA RGAL ARPT,221 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,45.1617,-83.5922
109,BGSM8,BIG SKY 2 WNW,2008 meters,snowfall,2006-03-01 00,25.4,mm,24.0,hours,,45.2769,-111.3242
110,CHSO1,CHESTERLAND,329 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,41.5167,-81.3511
111,WNPW1,WINTHROP 1 WSW,534 meters,snowfall,2006-03-01 00,25.4,mm,24.0,hours,,48.4531,-120.1936
112,STCP1,"STATE COLLEGE,PA",356 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,40.8,-77.8667
113,SAGP1,SAGAMORE,353 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,40.7819,-79.2375
114,NRKO1,"2MI.NW NORWALK,OH",204 meters,snowfall,2006-02-28 13,25.4,mm,24.0,hours,,41.2667,-82.6167
115,NOGO1,UNKNOWN,335 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,40.83,-80.98
116,NALN6,"2MI.SW NEW ALBION,NY",606 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.3167,-78.9167
117,LOCN6,"LOCKE,NY", 435 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.6,-76.4
118,LDGC1,LODGEPOLE,2052 meters,snowfall,2006-02-28 16,25.4,mm,24.0,hours,,36.6044,-118.7325
119,ITHN6,"3MI.ENE ITHACA,NY",292 meters,snowfall,2006-02-28 12,25.4,mm,24.0,hours,,42.45,-76.45
120,ALGM1,ALLAGASH,181 meters,snowfall,2006-02-28 13,25.4,mm,24.0,hours,,47.0886,-69.025
121,YGTN6,"2MI.NE YOUNGSTOWN,NY",85 meters,snowfall,2006-02-28 12,22.86,mm,24.0,hours,,43.2667,-79.05
122,KEYW2,"3MI.E KEYSER,WV",274 meters,snowfall,2006-02-28 12,22.86,mm,24.0,hours,,39.4206,-79.005
123,BUF,"BUFFALO, NY",211 meters,snowfall,2006-02-28 12,22.86,mm,24.0,hours,,42.9414,-78.7192
124,HASM4,WWTP,237 meters,snowfall,2006-02-28 12,20.32,mm,24.0,hours,,42.65,-85.3
125,ANJ,SAULT STE MARIE,210 meters,snowfall,2006-03-01 00,20.32,mm,24.0,hours,,46.4667,-84.3667
126,MRRN6,MORRISVILLE,423 meters,snowfall,2006-02-28 12,20.32,mm,24.0,hours,,42.85,-75.65
127,AUBN6,"1MI.E AUBURN,NY",234 meters,snowfall,2006-02-28 12,20.32,mm,24.0,hours,,42.9167,-76.5333
128,ONAM4,ST PR,210 meters,snowfall,2006-02-28 23,17.78,mm,24.0,hours,,45.4336,-84.2339
129,SHHN6,SCHOHARIE,223 meters,snowfall,2006-02-28 12,17.78,mm,24.0,hours,,42.665,-74.3036
130,MHKM4,MOHAWK,317 meters,snowfall,2006-02-28 13,17.78,mm,24.0,hours,,47.3058,-88.3639
131,WSMN6,"3MI.W WEST MONROE,NY",155 meters,snowfall,2006-02-28 10,17.78,mm,24.0,hours,,43.2667,-76.05
132,MDT,HARRISBURG INTERNATIONAL AIRPORT,95 meters,snowfall,2006-02-28 12,17.78,mm,24.0,hours,,40.1933,-76.7636
133,IPT,WILLIAMSPORT RGNL,158 meters,snowfall,2006-02-28 12,17.78,mm,24.0,hours,,41.2419,-76.9211
134,40.8100_081.6900,DALTON (CLE310), 326 meters,snowfall,2006-02-28 14,7.62,mm,12.0,hours,,40.81,-81.69
135,CORN6,"5MI.SSW CORNING,NY",286 meters,snowfall,2006-02-28 12,15.24,mm,24.0,hours,,42.0667,-77.05
136,PORM1,PORTAGE LAKE,249 meters,snowfall,2006-02-28 12,15.24,mm,24.0,hours,,46.8,-68.4833
137,CDRP1,"COUDERSPORT,PA",502 meters,snowfall,2006-02-28 12,15.24,mm,24.0,hours,,41.7683,-78.0269
138,SHKP1,"3MI.N SHICKSHINNY,PA",246 meters,snowfall,2006-02-28 12,15.24,mm,24.0,hours,,41.2,-76.15
139,WHNP1,LEHIGH VALLEY,459 meters,snowfall,2006-02-28 12,15.24,mm,24.0,hours,,41.1,-75.7333
140,DGSQ1,DEGELIS,151 meters,snowfall,2006-02-28 13,14.0,mm,24.0,hours,,47.56667,-68.63333
141,YHNP1,"YORK HAVEN,PA",94 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,40.1167,-76.7167
142,WLXP1,"GLEN HAZEL,PA",524 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.5667,-78.6
143,PEXM4,PHOENIX FARM,303 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,47.3717,-88.2581
144,MZAW1,MAZAMA,661 meters,snowfall,2006-03-01 03,12.7,mm,24.0,hours,,48.6047,-120.4497
145,KANP1,"1MI.NNE KANE,PA",533 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.6833,-78.8
146,ATMM4,ATLANTIC MINE 5NW,256 meters,snowfall,2006-02-28 13,12.7,mm,24.0,hours,,47.1544,-88.7167
147,MROW3,MONROE CENTER 1E,292 meters,snowfall,2006-02-28 13,12.7,mm,24.0,hours,,44.1119,-89.9192
148,DNVN6,"1MI.WNW DANSVILLE, NY",209 meters,snowfall,2006-02-28 13,12.7,mm,24.0,hours,,42.5708,-77.7133
149,RAVO1,WATER PLANT,337 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.1333,-81.2833
150,MEAP1,WOODCOCK RSVR, 360 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.7,-80.1
151,MCHN2,KYLE CANYON TOWN OF MT CHARLESTON,2194 meters,snowfall,2006-02-28 18,12.7,mm,24.0,hours,,36.2597,-115.6417
152,LCRP1,"2MI.ENE LANCASTER,PA",82 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,40.05,-76.2833
153,BTHN6,V.A. MEDICAL CENTER,341 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,42.35,-77.35
154,ALOP1,ALTOONA 2,390 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,40.5267,-78.3694
155,SUVN6,SYRACUSE UNIVERSITY,170 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,43.0331,-76.1336
156,TRTM4,"TROUT LAKE,MI",256 meters,snowfall,2006-02-28 23,12.7,mm,24.0,hours,,46.1942,-85.0236
157,GRGC1,GRANT GROVE,2011 meters,snowfall,2006-02-28 16,12.7,mm,24.0,hours,,36.7394,-118.9631
158,ANGN6,"ANGELICA,NY",432 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,42.3014,-78.0167
159,WALN6,"WALTON,NY",377 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,42.1667,-75.1333
160,WCXP1,"WILCOX,PA", 542 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.5833,-78.7
161,VANM1,"VAN BUREN,ME",138 meters,snowfall,2006-02-28 13,12.7,mm,24.0,hours,,47.1667,-67.9333
162,STVP1,GEO B STEVENSON LAKE,284 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.4,-78.0167
163,OLNN6,"OLEAN,NY",432 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,42.0833,-78.4528
164,GLHP1,GLEN HAZEL,457 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.53,-78.6
165,ECHN6,"EAST CHATHAM,NY",281 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,42.4394,-73.5028
166,ADNC1,ADIN RS,1278 meters,snowfall,2006-03-01 01,12.7,mm,24.0,hours,,41.1964,-120.9472
167,NWCP1,NEW CASTLE,249 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,41.0172,-80.3619
168,SAHP1,SAFE HARBOR DAM,71 meters,snowfall,2006-02-28 12,12.7,mm,24.0,hours,,39.9244,-76.3911
169,BWTN6,"3MI.WNW BREWERTON,NY",114 meters,snowfall,2006-02-28 13,12.7,mm,24.0,hours,,43.2333,-76.2
170,ARBM4,UNIV OF MICH,274 meters,snowfall,2006-02-28 12,10.16,mm,24.0,hours,,42.3,-83.7167
171,MAYP1,"2MI.N MAHANOY CITY,PA",521 meters,snowfall,2006-02-28 12,10.16,mm,24.0,hours,,40.8333,-76.1333
172,WOTM3,"3MI.WSW WEST OTIS,MA",414 meters,snowfall,2006-02-28 12,10.16,mm,24.0,hours,,42.1667,-73.15
173,SLGP1,"2MI.S SELINSGROVE,PA",12 meters,snowfall,2006-02-28 12,10.16,mm,24.0,hours,,40.7831,-76.8611
174,GPDM4,44TH STREET, 188 meters,snowfall,2006-02-28 12,10.16,mm,24.0,hours,,42.9,-85.7667
175,DELN6,"2MI.SSE DELHI,NY",438 meters,snowfall,2006-02-28 12,10.16,mm,24.0,hours,,42.25,-74.9
176,PLEP1,"1MI.W PLEASANT MOUNT,PA", 593 meters,snowfall,2006-02-28 12,10.16,mm,24.0,hours,,41.7333,-75.45
177,ONOM4,"1MI.S ONTONAGON,MI",199 meters,snowfall,2006-02-28 14,7.62,mm,24.0,hours,,46.8578,-89.3133
178,NHDP1,"2MI.SE NEW HOLLAND,PA",184 meters,snowfall,2006-02-28 12,7.62,mm,24.0,hours,,40.075,-76.0717
179,MRAM4,MORAN,211 meters,snowfall,2006-02-28 13,7.62,mm,24.0,hours,,45.9903,-84.8361
180,CNWM2,"1MI.S CONOWINGO,MD",12 meters,snowfall,2006-02-28 12,7.62,mm,24.0,hours,,39.65,-76.1667
181,SAXP1,"SAXTON,PA",237 meters,snowfall,2006-02-28 12,7.62,mm,24.0,hours,,40.2,-78.25
182,OSWP1,"1MI.NE OSWAYO,PA",521 meters,snowfall,2006-02-28 12,7.62,mm,24.0,hours,,41.9167,-78.0
183,CHJW1,"3MI.ESE CHIEF JOSEPH DAM,WA",249 meters,snowfall,2006-02-28 07,7.62,mm,24.0,hours,,47.9969,-119.6483
184,ETBW3,WEST BEND,289 meters,snowfall,2006-02-28 13,7.62,mm,24.0,hours,,43.430279999999996,-88.17833
185,RNSW2,RANSON 4NW,170 meters,snowfall,2006-02-28 13,7.62,mm,24.0,hours,,39.3247,-77.9203
186,PALP1,"PORT ALLEGANY,PA",266 meters,snowfall,2006-02-28 12,7.62,mm,24.0,hours,,41.8167,-78.2833
187,BEPP1,BENTON 3 NE,356 meters,snowfall,2006-02-28 12,7.62,mm,24.0,hours,,41.2322,-76.3425
188,HLTP1,"HOLTWOOD,PA",60 meters,snowfall,2006-02-28 12,7.62,mm,24.0,hours,,39.8333,-76.3333
189,WMAW3,"4MI.N WAUTOMA,WI",264 meters,snowfall,2006-02-28 13,5.08,mm,24.0,hours,,44.1167,-89.2833
190,DMAM2,DAMASCUS 3 SSW,212 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,39.2653,-77.2322
191,WLLP1,WELLSBORO 4 SW,554 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,41.7003,-77.3894
192,SHBN6,CHENANGO RIVER AT SHERBURNE, 321 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,42.6786,-75.5108
193,APN,PHELPS COLLINS FIELD,210 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,45.0781,-83.5603
194,MLLM2,"4MI.NE MILLERS,MD",262 meters,snowfall,2006-02-28 23,5.08,mm,24.0,hours,,39.7167,-76.8
195,STJW2,STONEWALL JACKSON DAM,326 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,39.0044,-80.4744
196,BGBM4,"1MI.S BIG BAY,MI",207 meters,snowfall,2006-02-28 13,5.08,mm,24.0,hours,,46.8,-87.7333
197,WORM3,"2MI.S WORTHINGTON,MA",391 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,42.3833,-72.9167
198,OAKP1,"1MI.E OAKFORD,PA",18 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,40.15,-74.9333
199,FARM4,"FARMINGTON,MI",219 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,42.4667,-83.3667
200,EWR,NEWARK INTL AIRPORT,3 meters,snowfall,2006-02-28 12,5.08,mm,24.0,hours,,40.6925,-74.1686
201,SKYM4,SPARTA SKYVIEW,277 meters,snowfall,2006-02-28 12,2.54,mm,24.0,hours,,43.1428,-85.7158
202,EMPP1,"EMPORIUM,PA",316 meters,snowfall,2006-02-28 12,2.54,mm,24.0,hours,,41.5,-78.2333
203,AVON6,GENESEE R NR - ROCHESTER,166 meters,snowfall,2006-02-28 13,2.54,mm,24.0,hours,,42.9208,-77.7556
204,NWKO1,WATER WORKS,254 meters,snowfall,2006-02-28 12,2.54,mm,24.0,hours,,40.0533,-82.3917
205,MQT,"MARQUETTE, MI",430 meters,snowfall,2006-03-01 00,2.54,mm,24.0,hours,,46.5311,-87.5483
206,COAP1,"2MI.E COATSVILLE,PA",195 meters,snowfall,2006-03-01 04,2.54,mm,24.0,hours,,39.9833,-75.4167
207,WCHV2,"WINCHESTER,VA",219 meters,snowfall,2006-02-28 12,2.54,mm,24.0,hours,,39.1833,-78.15
208,PMAW2,LAKE LYNN LAKE,274 meters,snowfall,2006-03-01 00,2.54,mm,24.0,hours,,39.72,-79.8561
209,OCNN6,"1MI.SE OCEANSIDE,NY",3 meters,snowfall,2006-02-28 11,2.54,mm,24.0,hours,,40.6328,-73.6269
210,CAIN6,"3MI.NW CAIRO,NY",149 meters,snowfall,2006-02-28 12,2.54,mm,24.0,hours,,42.3194,-74.0403
211,LKCM4,EXP FARM,377 meters,snowfall,2006-02-28 13,2.54,mm,24.0,hours,,44.3167,-85.2
