! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,
LENN2,GREAT BASIN NATL PARK,39.00920,-114.22670,2082 meters,snowfall,2007-02-28 16,203.200,mm,24.0,hours,
HLLN8,RIVER,47.35000,-102.36670,634 meters,snowfall,2007-03-01 00,203.200,mm,24.0,hours,
HAMC2,"HAMILTON,CO",40.37220,-107.61170,1899 meters,snowfall,2007-02-28 15,203.200,mm,24.0,hours,
DSMS2,HURON-33MI.E,44.38500,-97.54720,533 meters,snowfall,2007-03-01 04,203.200,mm,24.0,hours,
CECU1,CEDAR CITY,37.70830,-113.09390,1829 meters,snowfall,2007-02-28 12,203.200,mm,24.0,hours,
BKCC2,BLACK CANYON OF THE GUNNISON,38.55470,-107.68690,2484 meters,snowfall,2007-02-28 15,203.200,mm,24.0,hours,
ATAU1,ALTA,40.59060,-111.63690,2661 meters,snowfall,2007-02-28 12,203.200,mm,24.0,hours,
RLGW1,LONGMIRE RAINER NPS,46.74920,-121.81190,842 meters,snowfall,2007-02-28 16,177.800,mm,24.0,hours,
MSXC2,MESA 6S,39.08860,-108.11780,2353 meters,snowfall,2007-02-28 15,177.800,mm,24.0,hours,
CBYN8,"CROSBY,ND",48.90720,-103.29280,595 meters,snowfall,2007-03-01 01,177.800,mm,24.0,hours,
RANU1,RANDOLPH,41.67220,-111.19360,1911 meters,snowfall,2007-02-28 12,175.260,mm,24.0,hours,
1472C_MADIS,"MONTROSE 4.0 NW, CO",38.52530,-107.92170,1730 meters,snowfall,2007-02-28 15,172.720,mm,24.0,hours,
SILM5,"SILVER BAY,MN",47.29110,-91.29610, 327 meters,snowfall,2007-02-28 12,165.100,mm,24.0,hours,
PARC2,PARADOX,38.39580,-108.96060, 1702 meters,snowfall,2007-02-28 15,165.100,mm,24.0,hours,
ARMS2,IN TOWN - MITCHELL-31MI.SW,43.31670,-98.35000,460 meters,snowfall,2007-02-28 23,165.100,mm,24.0,hours,
TION8,"1MI.E TIOGA,ND",48.40000,-102.91670,684 meters,snowfall,2007-02-28 21,152.400,mm,24.0,hours,
STBC2,STEAMBOAT SPRINGS SPOTTER,40.47280,-106.81030, 2140 meters,snowfall,2007-02-28 15,152.400,mm,24.0,hours,
NBMU1,NATURAL BRIDGES,37.60940,-109.97720,1981 meters,snowfall,2007-02-28 15,152.400,mm,24.0,hours,
MSAC2,MESA SPOTTER,39.11330,-108.14330, 2044 meters,snowfall,2007-02-28 14,152.400,mm,24.0,hours,
IPSS2,ABERDEEN-26MI.W,45.45000,-99.03330,466 meters,snowfall,2007-03-01 03,152.400,mm,24.0,hours,
GNDM8,GLENDIVE,47.10640,-104.71830,633 meters,snowfall,2007-03-01 00,152.400,mm,24.0,hours,
CRGC2,CRAIG COOP,40.45060,-107.60610,1963 meters,snowfall,2007-02-28 15,152.400,mm,24.0,hours,
CODC2,CRAWFORD 4NNE,38.66830,-107.61860,2079 meters,snowfall,2007-02-28 15,152.400,mm,24.0,hours,
BWDS2,BOWDLE,45.44330,-99.65830,608 meters,snowfall,2007-03-01 00,152.400,mm,24.0,hours,
BOUC2,"2MI.S BOULDER,CO",39.99190,-105.26670,1672 meters,snowfall,2007-03-01 00,152.400,mm,24.0,hours,
ARSN8,SATHER DAM/ARSR-4 RADAR SITE,47.67600,-103.88300,701 meters,snowfall,2007-02-28 13,152.400,mm,24.0,hours,
ALXN8,ALEXANDER,47.84320,-103.64320,668 meters,snowfall,2007-02-28 13,152.400,mm,24.0,hours,
5488C_MADIS,"DAWSON COUNTY, MT",47.10280,-104.71790,623 meters,snowfall,2007-03-01 01,152.400,mm,24.0,hours,
1469C_MADIS,"MONTROSE 3.9 WNW, CO",38.49120,-107.94690,1761 meters,snowfall,2007-02-28 14,152.400,mm,24.0,hours,
ISN,SLOULIN FIELD-INTL APT,48.17810,-103.64190, 587 meters,snowfall,2007-03-01 00,149.860,mm,24.0,hours,
HOWO3,HOWARD PRAIRIE DAM,42.22920,-122.38140,1392 meters,snowfall,2007-02-28 16,149.860,mm,24.0,hours,
MNTC2,MONTROSE #2,38.48580,-107.87920,1763 meters,snowfall,2007-02-28 15,144.780,mm,24.0,hours,
0365C_MADIS,"HOTCHKISS 1.8 NNE, CO",38.82320,-107.70600,1786 meters,snowfall,2007-02-28 14,142.240,mm,24.0,hours,
WEFN8,EXPERIMENT FARM,48.13780,-103.75000,643 meters,snowfall,2007-03-01 01,139.700,mm,24.0,hours,
WBRS2,SISSETON-32MI.SW,45.33330,-97.53330,564 meters,snowfall,2007-03-01 05,139.700,mm,24.0,hours,
SLMS2,SALEM 5NE,43.74000,-97.31000,445 meters,snowfall,2007-02-28 13,139.700,mm,24.0,hours,
DUNC1,DUNSMUIR TREATMENT PL,41.18330,-122.27360,661 meters,snowfall,2007-02-28 16,139.700,mm,24.0,hours,
1470C_MADIS,"MONTROSE 1.5 ESE, CO",38.47226,-107.84940,1786 meters,snowfall,2007-02-28 14,139.700,mm,24.0,hours,
1468C_MADIS,"MONTROSE 1.2 ESE, CO",38.47290,-107.85740,1779 meters,snowfall,2007-02-28 14,137.160,mm,24.0,hours,
WTDN8,"WATFORD CITY,ND",47.80000,-103.28330,661 meters,snowfall,2007-02-28 14,134.620,mm,24.0,hours,
GLKC2,"1MI.NW GRAND LAKE,CO",40.26690,-105.83220,2658 meters,snowfall,2007-02-28 23,134.620,mm,24.0,hours,
ALYN8,"ASHLEY,ND",46.03330,-99.36670,610 meters,snowfall,2007-02-28 14,132.080,mm,24.0,hours,
SNBU1,SNOWBIRD SKI RESORT,40.58330,-111.66670, 2642 meters,snowfall,2007-02-28 12,127.000,mm,24.0,hours,
SDYM8,SIDNEY,47.72830,-104.14670,589 meters,snowfall,2007-03-01 00,127.000,mm,24.0,hours,
MNOC2,MONTROSE 2SW,38.46670,-107.92220, 1807 meters,snowfall,2007-02-28 14,127.000,mm,24.0,hours,
GSSM8,GRASS RANGE,47.02580,-108.80300,1064 meters,snowfall,2007-03-01 01,127.000,mm,24.0,hours,
FRZC2,"FRASER,CO",39.94250,-105.81720,2609 meters,snowfall,2007-02-28 23,127.000,mm,24.0,hours,
CNDU1,CANYONLANDS-THE NEEDLES,38.15060,-109.78220,1523 meters,snowfall,2007-02-28 15,127.000,mm,24.0,hours,
CLNC2,COLONA 4NW,38.35440,-107.82720,1869 meters,snowfall,2007-02-28 15,127.000,mm,24.0,hours,
CALN2,USDA COMPOUND,37.61690,-114.51580,1341 meters,snowfall,2007-02-28 16,127.000,mm,24.0,hours,
BODU1,BOULDER,37.90500,-111.42000,2036 meters,snowfall,2007-03-01 01,127.000,mm,24.0,hours,
BNYC1,BURNEY,40.87910,-121.67830,975 meters,snowfall,2007-02-28 16,127.000,mm,24.0,hours,
ABR,"ABERDEEN, SD",45.45580,-98.41280,397 meters,snowfall,2007-03-01 00,127.000,mm,24.0,hours,
0789C_MADIS,"MORRISON 8.7 SSW, CO",39.52890,-105.22440,2390 meters,snowfall,2007-02-28 16,127.000,mm,24.0,hours,
0620C_MADIS,"RIFLE .96 NNW, CO",39.54830,-107.78730,1731 meters,snowfall,2007-02-28 14,127.000,mm,24.0,hours,
0520C_MADIS,"EAGLE 0.5 ENE, CO",39.65790,-106.81900,2114 meters,snowfall,2007-02-28 15,127.000,mm,24.0,hours,
0238C_MADIS,"BOULDER 3.0 E, CO",40.01320,-105.20640,1586 meters,snowfall,2007-02-28 23,127.000,mm,24.0,hours,
KLLN8,"KILLDEER,ND",47.36970,-102.76330,704 meters,snowfall,2007-02-28 16,124.460,mm,24.0,hours,
0512C_MADIS,"GYPSUM 3.0 SE, CO",39.61020,-106.91100,2034 meters,snowfall,2007-02-28 14,119.380,mm,24.0,hours,
MNZC1,MANZANITA LAKE,40.54190,-121.57640,1753 meters,snowfall,2007-02-28 16,114.300,mm,24.0,hours,
KVNU1,LOGAN RADIO KVNU,41.73530,-111.85610,1372 meters,snowfall,2007-02-28 14,114.300,mm,24.0,hours,
DWDI1,DEADWOOD LODGE,44.46220,-115.58170,1813 meters,snowfall,2007-02-28 15,114.300,mm,24.0,hours,
DCKN8,EXP FARM,46.88330,-102.80000,750 meters,snowfall,2007-02-28 14,114.300,mm,24.0,hours,
CULM8,CULBERSTON,48.15030,-104.50890,592 meters,snowfall,2007-03-01 00,114.300,mm,24.0,hours,
COBC2,COLLBRAN,39.24100,-107.96100,1825 meters,snowfall,2007-02-28 15,114.300,mm,24.0,hours,
BIS,"BISMARCK, ND",46.77250,-100.74560,505 meters,snowfall,2007-03-01 00,114.300,mm,24.0,hours,
1708C_MADIS,"SILVERTHORNE 2.1 WSW, CO",39.62390,-106.10180,2893 meters,snowfall,2007-02-28 15,114.300,mm,24.0,hours,
1477C_MADIS,"MONTROSE 2.9 ESE, CO",38.46330,-107.82250,1818 meters,snowfall,2007-02-28 14,114.300,mm,24.0,hours,
MONU1,MONTICELLO,37.87360,-109.30690,2079 meters,snowfall,2007-03-01 04,109.220,mm,24.0,hours,
0752C_MADIS,"CONIFER 3 WSW, CO",39.50900,-105.36090,2903 meters,snowfall,2007-02-28 14,109.220,mm,24.0,hours,
MDAN8,"MEDORA,ND",46.91670,-103.51670,692 meters,snowfall,2007-02-28 15,106.680,mm,24.0,hours,
HAFU1,HAMS FLAT RS,38.25530,-110.16670,2012 meters,snowfall,2007-02-28 15,106.680,mm,24.0,hours,
CLIM8,CLINTON 6 SE,46.71690,-113.66720,1088 meters,snowfall,2007-03-01 05,104.140,mm,24.0,hours,
0367C_MADIS,"HOTCHKISS 9.0 WNW, CO",38.85110,-107.87530,1870 meters,snowfall,2007-02-28 14,104.140,mm,24.0,hours,
WSAC2,SKI AREA,37.48330,-106.79060,3243 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
UNDN8,"UNDERWOOD,ND",47.45670,-101.13640,616 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
THPC1,TEHACHAPI 4 SE,35.10110,-118.42220,1286 meters,snowfall,2007-02-28 16,101.600,mm,24.0,hours,
TERM8,TERRY,46.79390,-105.30220,685 meters,snowfall,2007-02-28 15,101.600,mm,24.0,hours,
SPVN2,SPRING VLY S.P.,38.04060,-114.18000,1814 meters,snowfall,2007-02-28 18,101.600,mm,24.0,hours,
SPTI1,SANDPOINT EXP STATION,48.28750,-116.56190,640 meters,snowfall,2007-02-28 16,101.600,mm,24.0,hours,
SMTS2,WATERTOWN-28MI.N,45.30000,-97.06670,594 meters,snowfall,2007-02-28 23,101.600,mm,24.0,hours,
OCKC2,OAK CREEK,40.24060,-107.09640,2499 meters,snowfall,2007-03-01 04,101.600,mm,24.0,hours,
NHRU1,"1MI.SE NEW HARMONY,UT",37.48440,-113.31310,1605 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
MTAW1,MT ADAMS RANGER STN,46.00080,-121.54390,597 meters,snowfall,2007-02-28 22,101.600,mm,24.0,hours,
MNFO3,MARION FORKS FISH HATCHERY,44.61250,-121.94860,754 meters,snowfall,2007-02-28 08,101.600,mm,24.0,hours,
LCPN8,LEWIS & CLARK STATE PARK,48.13060,-103.22800,572 meters,snowfall,2007-02-28 13,101.600,mm,24.0,hours,
LAMO3,LAUREL MOUNTAIN,44.92310,-123.57500,1094 meters,snowfall,2007-02-28 08,101.600,mm,24.0,hours,
ITRC2,INTER CANYON,39.57360,-105.21970,2146 meters,snowfall,2007-02-28 16,101.600,mm,24.0,hours,
IDYC1,IDYLLWILD FIRE DEPT,33.75720,-116.70670,1640 meters,snowfall,2007-03-01 00,101.600,mm,24.0,hours,
HSPC2,FORT LEWIS COOP,37.23420,-108.04970,2316 meters,snowfall,2007-03-01 00,101.600,mm,24.0,hours,
FLTM8,FLATWILLOW 4ENE,46.85110,-108.31330,955 meters,snowfall,2007-03-01 02,101.600,mm,24.0,hours,
FIPU1,"18MI.SW RICHFIELD,UT",38.57830,-112.33440,1804 meters,snowfall,2007-02-28 15,101.600,mm,24.0,hours,
COPN8,"COOPERSTOWN,ND",47.45000,-98.11670,433 meters,snowfall,2007-03-01 05,101.600,mm,24.0,hours,
CLXC2,CLIMAX COOP,39.37640,-106.19940,3450 meters,snowfall,2007-02-28 13,101.600,mm,24.0,hours,
BRSW4,BOULDER REARING STATION - COOP,42.71670,-109.68330,2115 meters,snowfall,2007-02-28 15,101.600,mm,24.0,hours,
BEUN8,"1MI.W BEULAH,ND",47.26670,-101.78330,544 meters,snowfall,2007-03-01 01,101.600,mm,24.0,hours,
ARTM5,ARTICHOKE LAKE,45.36670,-96.13330,328 meters,snowfall,2007-03-01 03,101.600,mm,24.0,hours,
ARLW1,ARLINGTON,48.20360,-122.12810,30 meters,snowfall,2007-02-28 15,101.600,mm,24.0,hours,
1479C_MADIS,"MONTROSE 6.4 S, CO",38.38706,-107.86220,1862 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
1471C_MADIS,"MONTROSE 14.7 NW, CO",38.60450,-108.09630,1639 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
1466C_MADIS,"NATURITA 6.9 W, CO",38.21630,-108.69680,1731 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
1436C_MADIS,"CRAIG .9 WNW, CO",40.52120,-107.56310,1914 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
0771C_MADIS,"CONIFER 1.0 N, CO",39.53560,-105.30580,2498 meters,snowfall,2007-02-28 14,101.600,mm,24.0,hours,
HZTN8,"HAZELTON,ND",46.48330,-100.28330,604 meters,snowfall,2007-02-28 13,99.060,mm,24.0,hours,
HAYC2,HAYDEN COOP,40.49280,-107.25470,1963 meters,snowfall,2007-02-28 15,99.060,mm,24.0,hours,
POWI1,POWELL,46.51000,-114.71110,1076 meters,snowfall,2007-02-28 15,96.520,mm,24.0,hours,
MRKC2,COLORADO COOPERATIVE NETWORK,40.02360,-107.96080,1884 meters,snowfall,2007-02-28 15,96.520,mm,24.0,hours,
FLAN8,"FLASHER,ND",46.43330,-101.25000,597 meters,snowfall,2007-02-28 14,96.520,mm,24.0,hours,
1706C_MADIS,"FRISCO 0.5 N, CO",39.58230,-106.09590,2790 meters,snowfall,2007-02-28 14,96.520,mm,24.0,hours,
0633C_MADIS,"GLENWOOD SPRINGS 7.1 WNW, CO",39.58790,-107.44920,1918 meters,snowfall,2007-02-28 14,96.520,mm,24.0,hours,
0369C_MADIS,"DELTA 3.9 S, CO",38.68530,-108.07430,1548 meters,snowfall,2007-02-28 14,96.520,mm,24.0,hours,
FSDS2,SIOUX FALLS NWS WFO AP,43.58780,-96.73000,436 meters,snowfall,2007-03-01 05,93.980,mm,24.0,hours,
FSD,"SIOUX FALLS, SD",43.58750,-96.72940, 440 meters,snowfall,2007-03-01 05,93.980,mm,24.0,hours,
0642C_MADIS,"GLENWOOD SPRINGS 1.7 NW, CO",39.56640,-107.35050,2183 meters,snowfall,2007-02-28 14,93.980,mm,24.0,hours,
BLYC2,"BAILEY,CO",39.40470,-105.47670,2356 meters,snowfall,2007-02-28 15,91.440,mm,24.0,hours,
0371C_MADIS,"CEDAREDGE 4.0 ESE, CO",38.88094,-107.85610,1959 meters,snowfall,2007-02-28 14,91.440,mm,24.0,hours,
ZNPU1,"ZION NATIONAL PARK,UT",37.20830,-112.98420,1234 meters,snowfall,2007-02-28 23,88.900,mm,24.0,hours,
TKFO3,TOKETEE FALLS,43.27500,-122.44970,628 meters,snowfall,2007-02-28 16,88.900,mm,24.0,hours,
STAN8,"3MI.NNW STANLEY,ND",48.35670,-102.41310,695 meters,snowfall,2007-02-28 21,88.900,mm,24.0,hours,
SILC2,SILT 1E,39.55000,-107.63330,1669 meters,snowfall,2007-02-28 15,88.900,mm,24.0,hours,
RIFC2,RIFLE,39.54420,-107.78560,1631 meters,snowfall,2007-02-28 15,88.900,mm,24.0,hours,
PNAW4,PINEDALE - UCOOP,42.88000,-109.85420,2252 meters,snowfall,2007-02-28 14,88.900,mm,24.0,hours,
IPKO3,IDLEYLD PARK 4 NE,43.37030,-122.96560,329 meters,snowfall,2007-03-01 01,88.900,mm,24.0,hours,
GTTS2,PIERRE 49MI.NE,45.01670,-99.95000,634 meters,snowfall,2007-02-28 14,88.900,mm,24.0,hours,
GDPC2,"17MI.W GLADE PARK,CO",38.95390,-109.05280, 1931 meters,snowfall,2007-02-28 15,88.900,mm,24.0,hours,
3971C_MADIS,"PAONIA 0.4 W, CO",38.87025,-107.59780,1773 meters,snowfall,2007-02-28 14,88.900,mm,24.0,hours,
2857C_MADIS,"MEEKER 1.9 WSW, CO",40.04070,-107.92030,2069 meters,snowfall,2007-02-28 13,88.900,mm,24.0,hours,
0844C_MADIS,"LITTLETON 10.2 WSW, CO",39.54150,-105.18630,2204 meters,snowfall,2007-02-28 14,88.900,mm,24.0,hours,
WCTC2,WOLCOTT 2N,39.73330,-106.68110,2199 meters,snowfall,2007-02-28 15,86.360,mm,24.0,hours,
SSSS2,MILBANK-36MI.NW,45.66670,-97.00000,363 meters,snowfall,2007-03-01 04,86.360,mm,24.0,hours,
KMLC2,KREMMLING,40.05760,-106.36800,2274 meters,snowfall,2007-02-28 15,86.360,mm,24.0,hours,
0515C_MADIS,"WOLCOTT 2.3 N, CO",39.73320,-106.68060,2181 meters,snowfall,2007-02-28 14,86.360,mm,24.0,hours,
0514C_MADIS,"BASALT 5.8 E, CO",39.37930,-106.92490,2350 meters,snowfall,2007-02-28 14,86.360,mm,24.0,hours,
MCAI1,MCCALL CITY,44.90860,-116.09940,1527 meters,snowfall,2007-02-28 13,83.820,mm,24.0,hours,
ROSS2,"ROSCOE,SD",45.45000,-99.35000,558 meters,snowfall,2007-02-28 13,81.280,mm,24.0,hours,
GFYC2,GUFFEY 9SE,38.67500,-105.39190,2682 meters,snowfall,2007-03-01 00,81.280,mm,24.0,hours,
ESTC2,"1MI.NNW EASTONVILLE,CO",39.08330,-104.56670,2210 meters,snowfall,2007-03-01 03,81.280,mm,24.0,hours,
CRHC2,CROW HILL AMRAD,39.42390,-105.45390, 2578 meters,snowfall,2007-02-28 14,81.280,mm,24.0,hours,
BOSI1,BOISE 7N,43.73830,-116.20220,1184 meters,snowfall,2007-03-01 03,81.280,mm,24.0,hours,
MDCS2,MEDICINE MOUNTAIN 1S,43.90360,-103.73330,1847 meters,snowfall,2007-03-01 00,78.740,mm,24.0,hours,
0767C_MADIS,"CONIFER 3.9 SE, CO",39.48388,-105.24340,2591 meters,snowfall,2007-02-28 15,78.740,mm,24.0,hours,
WIFC2,WILLIAMS FORK DAM,40.03750,-106.20300,2322 meters,snowfall,2007-02-28 15,76.200,mm,24.0,hours,
WBXM8,WIBAUX 2 E,46.98780,-104.15670,822 meters,snowfall,2007-03-01 03,76.200,mm,24.0,hours,
UPMN8,"3MI.N UPHAM,ND",48.61670,-100.73330,434 meters,snowfall,2007-02-28 21,76.200,mm,24.0,hours,
SRKN2,SPARKS,39.55580,-119.73330,1328 meters,snowfall,2007-02-28 15,76.200,mm,24.0,hours,
SREN8,"7MI.NW STREETER,ND",46.73330,-99.48330,579 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
POLS2,MOBRIDGE-27MI.NNE,45.90000,-100.28330,498 meters,snowfall,2007-03-01 01,76.200,mm,24.0,hours,
PLRC1,PALOMAR MOUNTAIN OBSVTRY,33.37810,-116.84000,1692 meters,snowfall,2007-02-28 23,76.200,mm,24.0,hours,
PKKC2,PARKER,39.51440,-104.75000,1800 meters,snowfall,2007-03-01 00,76.200,mm,24.0,hours,
NWSN8,"5MI.NW NEW SALEM,ND",46.89250,-101.48970,655 meters,snowfall,2007-02-28 15,76.200,mm,24.0,hours,
NWCC2,"NEW CASTLE,CO",39.66670,-105.80000,1692 meters,snowfall,2007-02-28 15,76.200,mm,24.0,hours,
MXHU1,MEXICAN HAT 10NNW,37.26810,-109.92720,1603 meters,snowfall,2007-03-01 04,76.200,mm,24.0,hours,
MORU1,MORGAN POWER & LIGHT,41.04280,-111.67000,1551 meters,snowfall,2007-02-28 12,76.200,mm,24.0,hours,
MMLM5,DIVERSION,44.47060,-95.80000,351 meters,snowfall,2007-03-01 05,76.200,mm,24.0,hours,
MARU1,MANTI RADIO KMTI,39.27310,-111.65830,1676 meters,snowfall,2007-02-28 12,76.200,mm,24.0,hours,
JEFC2,AMRAD,39.29580,-105.74670,2855 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
GWDC2,SHOSHONE,39.57170,-107.22640,1807 meters,snowfall,2007-02-28 15,76.200,mm,24.0,hours,
GOVO3,"GOVERNMENT CAMP,OR",45.30140,-121.74110,1213 meters,snowfall,2007-02-28 08,76.200,mm,24.0,hours,
DCRC2,DEER CREEK CANYON,39.57170,-105.21670,2162 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
COLA3,"COLORADO CITY,AZ",36.99390,-112.97190,1527 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
CANN8,"CARSON,ND",46.42060,-101.57140,704 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
BRYU1,BRYCE CANYON NP HQRS,37.64110,-112.16890,2412 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
BRGC2,"BRECKENRIDGE,CO",39.48610,-106.04310,2920 meters,snowfall,2007-02-28 15,76.200,mm,24.0,hours,
BRDM8,BREDETTE,48.54750,-105.27060,804 meters,snowfall,2007-03-01 02,76.200,mm,24.0,hours,
BNWW4,BONDURANT - COOP,43.20670,-110.39140,2038 meters,snowfall,2007-03-01 01,76.200,mm,24.0,hours,
AVNC2,AVON 2N,39.66670,-106.55000,2499 meters,snowfall,2007-02-28 15,76.200,mm,24.0,hours,
2739C_MADIS,"AFTON 12.2 S, WY",42.55192,-110.88840,2086 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
1731C_MADIS,"SILVERTHORNE 21 NW, CO",39.90240,-106.30500,2465 meters,snowfall,2007-02-28 14,76.200,mm,24.0,hours,
SHRW4,SHIRLEY BASIN MINE 345C,42.37060,-106.10500,2150 meters,snowfall,2007-02-28 13,73.660,mm,24.0,hours,
1730C_MADIS,"SILVERTHORNE 0.5 W, CO",39.65050,-106.09040,2691 meters,snowfall,2007-02-28 14,73.660,mm,24.0,hours,
0739C_MADIS,"CONIFER 3 E, CO",39.52390,-105.25060,2521 meters,snowfall,2007-02-28 14,73.660,mm,24.0,hours,
NHPM5,"NEW HOPE,MN",45.01670,-93.36670,287 meters,snowfall,2007-03-01 04,71.120,mm,24.0,hours,
1718C_MADIS,"DILLON 2.3 SE, CO",39.59700,-106.00710,2775 meters,snowfall,2007-02-28 14,71.120,mm,24.0,hours,
PKSS2,PICKSTOWN,43.06890,-98.53250,454 meters,snowfall,2007-02-28 13,68.580,mm,24.0,hours,
CNRC2,AMRAD,39.54770,-105.36250,2679 meters,snowfall,2007-02-28 14,68.580,mm,24.0,hours,
0938C_MADIS,"LEADVILLE 1.8 WNW, CO",39.26010,-106.32370,3009 meters,snowfall,2007-02-28 13,68.580,mm,24.0,hours,
YMPC2,YAMPA COOP,40.15610,-106.90920, 2398 meters,snowfall,2007-02-28 15,63.500,mm,24.0,hours,
SVRW4,STAR VALLEY RANCH - UCOOP,42.90310,-110.98280,1864 meters,snowfall,2007-02-28 14,63.500,mm,24.0,hours,
SLC,"SALT LAKE CITY, UT",40.77810,-111.96940,1288 meters,snowfall,2007-02-28 12,63.500,mm,24.0,hours,
RYEC2,RYE 1 SW,37.91390,-104.94780,2177 meters,snowfall,2007-03-01 03,63.500,mm,24.0,hours,
GVYI1,GARDEN VALLEY,44.10110,-115.96940,945 meters,snowfall,2007-02-28 23,63.500,mm,24.0,hours,
FTYN8,FORT YATES,46.09170,-100.62920, 501 meters,snowfall,2007-02-28 13,63.500,mm,24.0,hours,
CASI1,CASCADE 1 NW,44.52280,-116.04810,1492 meters,snowfall,2007-02-28 13,63.500,mm,24.0,hours,
CAGN2,CATHEDRAL GORGE STATE PARK,37.80440,-114.40690, 1458 meters,snowfall,2007-02-28 16,63.500,mm,24.0,hours,
5003C_MADIS,"BRECKENRIDGE 3.3 SE, CO",39.46880,-106.01090,3064 meters,snowfall,2007-02-28 14,63.500,mm,24.0,hours,
2896C_MADIS,"BROWNSBURG 1.8 SSE, IN",39.81850,-86.37990,267 meters,snowfall,2007-02-28 12,63.500,mm,24.0,hours,
2830C_MADIS,"COALMONT 9.3 WNW, CO",40.63096,-106.58840,2688 meters,snowfall,2007-02-28 15,63.500,mm,24.0,hours,
0937C_MADIS,"LEADVILLE 6.3 S, CO",39.16010,-106.28160,3030 meters,snowfall,2007-02-28 14,63.500,mm,24.0,hours,
