,Station_Id,Name,Elevation,Amount,Amount_Units,Duration,Duration_Units,Physical_Element,DateTime_Report,Unnamed: 9,Latitude,Longitude
61,WESW3,WESTBY 1NE,394 meters,33.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.6749,-90.8077
62,WPKW3,SW-WHITNAL PARK,236 meters,30.48,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.9167,-88.0333
63,MSN,"MADISON,WI",262 meters,30.48,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,43.1397,-89.3375
64,COBW3,COLBY-5NE,405 meters,30.48,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.9325,-90.2286
65,WABM5,WABASHA,214 meters,30.48,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.385,-92.0486
66,FRAW3,FRANCIS CREEK,222 meters,27.94,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.2006,-87.7192
67,NECW3,NECEDAH 2SE,277 meters,27.94,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.9968,-90.0352
68,MMCW3,MT. MARY COLLEGE,220 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0728,-88.0306
69,BRLW3,"BRILLION,WI",255 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.1833,-88.0667
70,GRB,"GREEN BAY, WI",214 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,44.4986,-88.1117
71,BGTW3,SEWAGE DISPOSAL PLANT,251 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.6833,-88.2
72,WCCW3,CARROLL COLLEGE,275 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0,-88.2167
73,TNLW3,TWIN LAKES 1SW,253 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.5275,-88.2683
74,YOKI2,YORKVILLE,221 meters,12.7,mm,12.0,Hours,station raw snowfall,2005-02-28 12,,41.6211,-88.4356
75,Y11W3,EAGLE,280 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.8725,-88.46444
76,CNTW3,"CLINTONVILLE,WI",247 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.6225,-88.765
77,PLVW3,"PLOVER,WI",330 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.45,-89.5333
78,WIRW3,GRAND AVENUE B,312 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.4,-89.8167
79,MROW3,MONROE CENTER 1E,293 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.1119,-89.9192
80,HTFW3,HATFIELD,273 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.4169,-90.7314
81,LWDI4,"LOWDEN,IA",225 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,41.8667,-90.9333
82,CRCI4,CRESCO 1NE,375 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.3894,-92.0938
83,ZUMM5,ZUMBRO FALLS,253 meters,25.4,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.2853,-92.431
84,GDCM4,GARDEN CORNERS,174 meters,12.7,mm,12.0,Hours,station raw snowfall,2005-02-28 13,,45.8983,-86.5483
85,LCFW3,FRENCH ISLAND,205 meters,22.86,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.8669,-91.2725
86,PTWW3,"PORT WASHINGTON,WI",175 meters,20.32,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.3833,-87.8667
87,VALW3,VALDERS,255 meters,20.32,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.0664,-87.8797
88,HINW3,HINGHAM,235 meters,20.32,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.6406,-87.9106
89,PTNM5,PRESTON,284 meters,20.32,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.6725,-92.0747
90,CDGW3,LAKEFIELD,222 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.2947,-87.9725
91,ELHW3,"ELKHART LAKE,WI",291 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.8333,-88.0167
92,MKX,WFO SULLIVAN,285 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.9681,-88.5492
93,PGEW3,PORTAGE 3SE,246 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.5269,-89.3917
94,ARBW3,SOUTH SIDE-ARBORETUM UNIV WI,293 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0411,-89.4286
95,CHMW3,"MADISON,WI",320 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0603,-89.4781
96,MDLW3,MIDDLETON 1NE,289 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.102,-89.496
97,AUW,WAUSAU MUNICIPAL AIRPORT,368 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,44.9258,-89.6256
98,LSGI4,LANSING 4SE,251 meters,17.78,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.3197,-91.1617
99,WETW3,"WEST ALLIS,WI",228 meters,15.24,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0172,-88.0017
100,KEEW3,MERTON 1.5N,302 meters,15.24,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.1669,-88.3042
101,MLI,QUAD CITY INTL,176 meters,15.24,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,41.4486,-90.5075
102,EGNM5,ELGIN 2SSW,330 meters,15.24,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.097,-92.2701
103,GTHC2,GOTHIC,3171 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 19,,38.9667,-106.9833
104,SHNW3,SHEBOYGAN 5MI.SW,217 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.6769,-87.7572
105,KENW3,WATER POLLUTION CONTROL PLANT,188 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-03-01 06,,42.55,-87.8142
106,TAHW3,TAYCHEEDAHV_REMARKS=,325 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.8339,-88.3469
107,FDCW3,AAWO,332 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.6333,-88.45
108,Y77W3,MILLARD,283 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.75333,-89.77806
109,Y08W3,JUNEAU,283 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.40611,-88.705
110,WATW3,"WATERTOWN,WI",241 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.175,-88.7353
111,LKMW3,"LAKE MILLS,WI",260 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0667,-88.9122
112,BLTW3,"BELOIT,WI",231 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.5,-89.0333
113,SNPW3,SUN PRAIRIE 4 NNE,299 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.2211,-89.2139
114,Y01W3,MADISON,308 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0333,-89.45
115,Y91W3,MERRILL,445 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.23917,-89.33528000000001
116,WDEW3,"WISCONSIN DELLS,WI",287 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.6167,-89.7833
117,BLVW3,"BLANCHARDVILLE,WI",250 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.7833,-89.8667
118,RDBW3,REEDSBURG 1NNE,279 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.5533,-89.9972
119,SRTW3,SPARTA,238 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.9365,-90.8163
120,BLAW3,BLAIR,262 meters,12.7,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.2925,-91.2229
121,MKNW3,MILWAUKEE - BROWN DEER,217 meters,10.16,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.1569,-87.9803
122,GERW3,"GERMANTOWN,WI",264 meters,10.16,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.2167,-88.1167
123,GMIW3,GAYS MILLS,215 meters,10.16,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.3168,-90.8452
124,BRL,BURLINGTON REGIONAL AIRPORT,210 meters,7.62,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,40.7833,-91.1253
125,MDHC2,MEREDITH UPPER COLORADO RVR PROJECT/COOP,2395 meters,7.62,mm,24.0,Hours,station raw snowfall,2005-02-28 19,,39.3619,-106.7422
126,HARW3,"2MI.W HARTFORD,WI",300 meters,7.62,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.3167,-88.4
127,MOUW3,MOUNTAIN 1 SW,284 meters,7.62,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.1722,-88.4939
128,PORW3,"PORTAGE,WI",237 meters,7.62,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.5319,-89.4378
129,BABW3,"BARABOO,WI",253 meters,7.62,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.4833,-89.6333
130,LANW3,LANCASTER 4WSW,307 meters,7.62,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.8278,-90.7889
131,WHII3,WHITING,179 meters,2.54,mm,12.0,Hours,station raw snowfall,2005-02-28 12,,41.6825,-87.5103
132,WLBI2,WILLOWBROOK,222 meters,2.54,mm,12.0,Hours,station raw snowfall,2005-02-28 12,,41.7322,-87.9486
133,ETBW3,WEST BEND,290 meters,5.08,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.430279999999996,-88.17833
134,Y07W3,WEST BEND 2NW,288 meters,5.08,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.45361,-88.20333000000001
135,MKTI4,"2MI.W MAQUOKETA,IA",227 meters,5.08,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.0667,-90.7
136,RSRM5,ROCHESTER AP 2NE,386 meters,5.08,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.9281,-92.4758
137,FRFI4,"FAIRFIELD,IA",233 meters,2.54,mm,24.0,Hours,station raw snowfall,2005-02-28 22,,41.0333,-91.95
138,JFNW3,JEFFERSON - WWTP,241 meters,2.54,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.9947,-88.8039
139,RICW3,RICHLAND CENTER,223 meters,2.54,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.3169,-90.3777
140,WSHI4,"WASHINGTON,IA",229 meters,2.54,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,41.2833,-91.6833
141,CIYI4,CHARLES CITY,306 meters,2.54,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.0776,-92.6714
142,DSM,"DES MOINES,IA",249 meters,2.54,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,41.5339,-93.6625
143,SCOM5,MISSISSIPPI RIVER,315 meters,2.54,mm,24.0,Hours,station raw snowfall,2005-02-28 11,,45.55,-94.15
144,HGHI3,HIGHLAND,183 meters,0.02,mm,12.0,Hours,station raw snowfall,2005-03-01 02,,41.5642,-87.4475
145,CNNI2,CHICAGO,202 meters,0.02,mm,12.0,Hours,station raw snowfall,2005-02-28 12,,41.97,-87.8072
146,LNNI2,LA GRANGE,202 meters,0.02,mm,12.0,Hours,station raw snowfall,2005-02-28 12,,41.7953,-87.8708
147,MSCI4,MASON CITY #1,345 meters,0.02,mm,12.0,Hours,station raw snowfall,2005-03-01 05,,43.1528,-93.1967
148,KEQI4,"KEOSAUQUA,IA",194 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 14,,40.7333,-91.9667
149,MWM,GOODLAND CITY #3,1131 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,43.9134,-95.1094
150,URYC2,QURAY SPOTTER,2357 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 19,,38.0261,-107.6725
151,RWYC2,RIDGWAY 3NW,2420 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 19,,38.1833,-107.7667
152,MONO1,MONTPELIER,262 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,41.5802,-84.6077
153,Y16W3,DELAVAN,286 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.62444,-88.62722
154,WHTW3,"WHITEWATER,WI",244 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.8567,-88.7294
155,FATW3,"FORT ATKINSON,WI",246 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.8833,-88.8333
156,ARGW3,ARGYLE,261 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.7006,-89.0189
157,BELW3,BELOIT,247 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.5253,-89.2069
158,STOW3,"STOUGHTON,WI",271 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.9167,-89.2167
159,ARLW3,UNIV FARM,318 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.3,-89.35
160,BROW3,"BRODHEAD,WI",240 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.6172,-89.3897
161,MONW3,"1MI.W MONROE,WI",303 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.6,-89.6667
162,KEWI2,"1MI.E KEWANEE,IL",245 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,41.25,-89.9
163,GPBI2,"GALENA,IL",229 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 14,,42.4167,-90.4333
164,DVN,"QUAD CITIES, IA",231 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,41.6117,-90.5892
165,DBQ,"DUBUQUE,IA",322 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,42.4031,-90.7092
166,REAW3,"READSTOWN,WI",231 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.4497,-90.7594
167,SBNW3,STEUBEN 4SE,312 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.1343,-90.8372
168,LSE,LA CROSSE MUNICIPAL AIRPORT,196 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,43.8792,-91.2561
169,IOW,IOWA CITY MUNICIPAL AIRPORT,198 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,41.6394,-91.5461
170,CID,CEDAR RAPIDS MUNI ARPT,257 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,41.8844,-91.7108
171,ALTM5,ALTURA 5W,255 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.0633,-92.0397
172,BLLI4,"3MI.S BELLE PLAINE,IA",250 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,41.9,-92.2667
173,ALO,"WATERLOO,IA",265 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,42.5569,-92.4
174,RST,"ROCHESTER,MN",391 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,43.9089,-92.4978
175,DMXI4,DES MOINES WFO,288 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,41.7361,-93.7236
176,MJQ,JACKSON,436 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,43.65,-94.9867
177,SPW,SPENCER MUNICIPAL AIRPORT,406 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,43.1642,-95.2006
178,ORC,ORANGE CITY,421 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,42.4164,-96.3933
179,PQN,PIPESTONE,526 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,43.9333,-96.3033
180,FSD,"SIOUX FALLS, SD",440 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,43.5875,-96.7294
181,BKX,BROOKINGS MUNICIPAL AIRPORT,491 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.3047,-96.8169
182,MHE,MITCHELL MUNICIPAL AIRPORT,395 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,43.7747,-98.0383
183,HON,"HURON,SD",386 meters,0.02,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.3853,-98.2286
