! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,
41.2083_078.5758,PENFIELD (58PENF),41.20833,-78.57583,381 meters,snowfall,2008-03-01 03,15.240,cm,24,hours,
40.3481_080.1450,SOUTH FAYETTE (101SOUT),40.34806,-80.14500,386 meters,snowfall,2008-02-29 22,3.810,cm,6,hours,
MILM4,GM PROVING GD,42.58330,-83.70000,300 meters,snowfall,2008-03-01 05,13.716,cm,24,hours,
BCKM4,"BATTLE CREEK,MI",42.33330,-85.18330,271 meters,snowfall,2008-03-01 02,13.462,cm,24,hours,
40.9311_073.8992,YONKERS (568YON),40.93111,-73.89917,28 meters,snowfall,2008-03-01 06,6.604,cm,12,hours,
39.6554_078.8971,ECKHART MINES (ALW28),39.65540,-78.89710,529 meters,snowfall,2008-03-01 03,6.604,cm,12,hours,
Y07W3,WEST BEND 2NW,43.45361,-88.20333,288 meters,snowfall,2008-02-29 13,12.700,cm,24,hours,
NWCM4,NEWBERRY CITY,46.35720,-85.51780,232 meters,snowfall,2008-02-29 17,6.350,cm,12,hours,
GBGI2,GALESBURG,40.94640,-90.38530,230 meters,snowfall,2008-02-29 13,12.700,cm,24,hours,
45.0781_067.1100,ROBBINSTON (429ROB),45.07806,-67.11000,25 meters,snowfall,2008-03-01 06,12.700,cm,24,hours,
41.5114_078.2356,EMPORIUM (46EMPO),41.51139,-78.23556,314 meters,snowfall,2008-03-01 00,12.700,cm,24,hours,
41.1769_075.4183,TOBYHANNA (115TOB),41.17694,-75.41833,595 meters,snowfall,2008-03-01 05,6.350,cm,12,hours,
40.4272_078.3892,HOLLIDAYSBURG (133HOL),40.42722,-78.38917,289 meters,snowfall,2008-03-01 04,12.700,cm,24,hours,
MHKM4,MOHAWK,47.30580,-88.36390,315 meters,snowfall,2008-03-01 02,6.096,cm,12,hours,
GRYI2,GRAYSLAKE,42.33440,-88.00920,254 meters,snowfall,2008-02-29 12,6.096,cm,12,hours,
AUW,WAUSAU MUNICIPAL AIRPORT,44.92580,-89.62560,368 meters,snowfall,2008-02-29 12,12.192,cm,24,hours,
ANJ,SAULT STE MARIE,46.46670,-84.36670,213 meters,snowfall,2008-03-01 00,12.192,cm,24,hours,
41.0036_074.3419,BUTLER (44BUTL),41.00361,-74.34194,113 meters,snowfall,2008-03-01 06,6.096,cm,12,hours,
40.9792_074.1169,RIDGEWOOD (113RID),40.97917,-74.11694,40 meters,snowfall,2008-03-01 05,5.842,cm,12,hours,
PICM4,PICKFORD 3NE,46.18640,-84.32390,187 meters,snowfall,2008-02-29 23,11.430,cm,24,hours,
40.7858_077.0475,MIDDLEBURG (101MIDD),40.78583,-77.04750,162 meters,snowfall,2008-03-01 05,11.430,cm,24,hours,
Y90W3,WITTENBERG HAM,44.82361,-89.16472,358 meters,snowfall,2008-02-29 13,11.176,cm,24,hours,
41.2000_080.9700,NEWTON FALLS (CLE2322),41.20000,-80.97000,272 meters,snowfall,2008-03-01 02,5.334,cm,12,hours,
40.9869_074.4747,MARCELLA (455MAR),40.98694,-74.47472,329 meters,snowfall,2008-03-01 05,5.334,cm,12,hours,
5850C_MADIS,"CEDARBURG 0.8 NNE, WI",43.30855,-87.98480,253 meters,snowfall,2008-02-29 12,10.414,cm,24,hours,
Y99W3,NORTH FOND DU LAC,43.81666,-88.48333,233 meters,snowfall,2008-02-29 13,10.160,cm,24,hours,
WLNM4,WELLSTON 1N,44.22940,-85.95690,236 meters,snowfall,2008-02-29 17,10.160,cm,24,hours,
PTWW3,"PORT WASHINGTON,WI",43.38330,-87.86670,175 meters,snowfall,2008-02-29 13,10.160,cm,24,hours,
OALI2,OAK LAWN,41.72860,-87.77640,190 meters,snowfall,2008-02-29 12,5.080,cm,12,hours,
BALM4,"BALDWIN,MI",43.90000,-85.85000,257 meters,snowfall,2008-02-29 12,10.160,cm,24,hours,
ALLW3,ALLENTON,43.42360,-88.35110,290 meters,snowfall,2008-02-29 14,10.160,cm,24,hours,
7966C_MADIS,"JACKSON 0.5 SSE, WI",43.31440,-88.16170,272 meters,snowfall,2008-02-29 11,10.160,cm,24,hours,
42.0500_080.1400,MILLCREEK TWP. (CLE0145),42.05000,-80.14000,302 meters,snowfall,2008-03-01 02,5.080,cm,12,hours,
41.8650_080.7900,ASHTABULA (752ASHT),41.86500,-80.79000,209 meters,snowfall,2008-02-29 18,2.540,cm,6,hours,
41.1200_082.4500,NEW LONDON 3NW (CLE1905),41.12000,-82.45000,298 meters,snowfall,2008-03-01 02,5.080,cm,12,hours,
40.8964_078.2208,PHILIPSBURG (158PHI),40.89639,-78.22083,447 meters,snowfall,2008-03-01 04,10.160,cm,24,hours,
40.7900_082.9700,BUCYRUS (CLE2803),40.79000,-82.97000,300 meters,snowfall,2008-02-29 15,5.080,cm,12,hours,
40.4200_082.4700,MT. VERNON 3N (CLE4702),40.42000,-82.47000,366 meters,snowfall,2008-03-01 02,5.080,cm,12,hours,
39.6581_078.9286,FROSTBURG (70FROS),39.65806,-78.92861,631 meters,snowfall,2008-03-01 01,10.160,cm,24,hours,
37.9994_079.8319,HOT SPRINGS (378HOT),37.99944,-79.83194,684 meters,snowfall,2008-03-01 01,2.540,cm,6,hours,
36.0872_081.9275,NEWLAND (718NEW),36.08722,-81.92750,1101 meters,snowfall,2008-03-01 02,2.540,cm,6,hours,
CDGW3,LAKEFIELD,43.29470,-87.97250,222 meters,snowfall,2008-02-29 13,9.906,cm,24,hours,
LNNI2,LA GRANGE,41.79530,-87.87080,202 meters,snowfall,2008-02-29 12,4.826,cm,12,hours,
HOGW3,HOWARDS GROVE,43.82500,-87.82940,217 meters,snowfall,2008-02-29 13,9.652,cm,24,hours,
HINW3,HINGHAM,43.64060,-87.91060,235 meters,snowfall,2008-02-29 14,9.652,cm,24,hours,
38.3236_079.6406,MUSTOE (274MUST),38.32361,-79.64056,730 meters,snowfall,2008-03-01 05,9.652,cm,24,hours,
HOLM4,"HOLLAND,MI",42.80000,-86.11670,185 meters,snowfall,2008-02-29 12,9.398,cm,24,hours,
WSTW3,WEST BEND -FIRE,43.43138,-88.16111,272 meters,snowfall,2008-02-29 14,9.144,cm,24,hours,
OSHM4,"OSHTEMO,MI",42.26670,-85.68330,296 meters,snowfall,2008-02-29 13,9.144,cm,24,hours,
KENW3,WATER POLLUTION CONTROL PLANT,42.55000,-87.81420,188 meters,snowfall,2008-03-01 06,9.144,cm,24,hours,
BEUM4,"7MI.SSW BEULAH,MI",44.53140,-86.13190,235 meters,snowfall,2008-02-29 13,9.144,cm,24,hours,
40.7933_077.8603,STATE COLLEGE (437STA),40.79333,-77.86028,350 meters,snowfall,2008-03-01 05,9.144,cm,24,hours,
Y81W3,HATLEY-2 S-HAM,44.85222,-89.35194,391 meters,snowfall,2008-02-29 13,8.890,cm,24,hours,
SJMM4,BEAVER IS,45.71670,-85.51670,207 meters,snowfall,2008-02-29 23,8.890,cm,24,hours,
HARW3,"2MI.W HARTFORD,WI",43.31670,-88.40000,300 meters,snowfall,2008-02-29 14,8.890,cm,24,hours,
GPDM4,44TH STREET,42.90000,-85.76670,188 meters,snowfall,2008-02-29 15,8.890,cm,24,hours,
BRLW3,"BRILLION,WI",44.18330,-88.06670,255 meters,snowfall,2008-02-29 12,8.890,cm,24,hours,
6201C_MADIS,"MERRILL 7.0 W, WI",45.17746,-89.84820,-9999 meters,snowfall,2008-02-29 11,8.890,cm,24,hours,
40.9133_077.7786,BELLEFONTE (344BEL),40.91333,-77.77861,240 meters,snowfall,2008-03-01 05,8.890,cm,24,hours,
40.8533_077.5678,SPRING MILLS (917SPRI),40.85333,-77.56778,340 meters,snowfall,2008-03-01 05,8.890,cm,24,hours,
RHTW3,"9MI.NNE ROSHOLT,WI",44.76670,-89.24500,362 meters,snowfall,2008-02-29 14,8.636,cm,24,hours,
AMHW3,AMHERST-3 SE,44.41280,-89.26390,313 meters,snowfall,2008-02-29 13,8.636,cm,24,hours,
8677C_MADIS,"LINN COUNTY, IA",42.04780,-91.57430,262 meters,snowfall,2008-02-29 12,8.636,cm,24,hours,
40.8681_077.7469,PLEASANT GAP (993PLEA),40.86806,-77.74694,299 meters,snowfall,2008-03-01 05,8.636,cm,24,hours,
40.7986_074.2394,WEST ORANGE (585WES),40.79861,-74.23944,145 meters,snowfall,2008-03-01 05,4.318,cm,12,hours,
Y58W3,BROWN DEER-NORTH-HAM,43.18416,-87.98472,-9999 meters,snowfall,2008-02-29 13,8.382,cm,24,hours,
NAHW3,NEENAH-EAST,44.17280,-88.44830,237 meters,snowfall,2008-02-29 14,8.382,cm,24,hours,
MFRW3,MEDFORD 4NW,45.20620,-90.36370,440 meters,snowfall,2008-02-29 12,8.382,cm,24,hours,
NAVW3,NAVARINO 5WSW,44.59220,-88.58970,238 meters,snowfall,2008-02-29 12,8.128,cm,24,hours,
KIMW3,KIMBERLY,44.26720,-88.33610,227 meters,snowfall,2008-02-29 15,8.128,cm,24,hours,
FNVM4,"3MI.W FENNVILLE,MI",42.60000,-86.10000,213 meters,snowfall,2008-02-29 13,8.128,cm,24,hours,
FDCW3,AAWO,43.63330,-88.45000,332 meters,snowfall,2008-02-29 13,8.128,cm,24,hours,
CICI2,CICERO,41.84500,-87.76720,185 meters,snowfall,2008-02-29 12,4.064,cm,12,hours,
CCOW3,CASCO,44.55440,-87.62420,227 meters,snowfall,2008-02-29 14,8.128,cm,24,hours,
ANTI2,"2MI.NW ANTIOCH,IL",42.50000,-88.13330,228 meters,snowfall,2008-02-29 14,8.128,cm,24,hours,
5849C_MADIS,"KIMBERLY 1.0 SE, WI",44.25863,-88.32840,226 meters,snowfall,2008-02-29 13,8.128,cm,24,hours,
5769C_MADIS,"KIMBERLY 0.3 ESE, WI",44.26864,-88.33540,228 meters,snowfall,2008-02-29 14,8.128,cm,24,hours,
3427C_MADIS,"MIDDLEBURY 2.6 WSW, IN",41.66370,-85.75920,273 meters,snowfall,2008-02-29 11,8.128,cm,24,hours,
GERW3,"GERMANTOWN,WI",43.21670,-88.11670,264 meters,snowfall,2008-02-29 13,7.874,cm,24,hours,
ETBW3,WEST BEND,43.43027,-88.17833,290 meters,snowfall,2008-02-29 13,7.874,cm,24,hours,
2488C_MADIS,"BRIDGEVILLE 1.4 SW, PA",40.34174,-80.12290,322 meters,snowfall,2008-02-29 23,7.874,cm,24,hours,
Y80W3,MEDFORD-HAM (replaces Y80W3),45.13500,-90.34111,-9999 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
Y76W3,NEW LONDON 4 N HAM,44.45305,-88.72888,246 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
Y75W3,WEST ALLIS HAM,43.01750,-88.02222,229 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
Y60W3,CAMPBELLSPORT-5 W-ASHFORD,43.59027,-88.37500,324 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
Y54W3,KENNAN-2 S-HAM,45.50055,-90.59500,430 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
Y14W3,GREEN BAY-EAST-HAM,44.49330,-87.92860,230 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
Y08W3,JUNEAU,43.40611,-88.70500,283 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
WPKW3,SW-WHITNAL PARK,42.91670,-88.03330,236 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
SNYI4,STANLEY IA,42.64310,-91.81080,343 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
SHIW3,SHIOCTON,44.43890,-88.58390,235 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
SHAW3,"SHAWANO,WI",44.50000,-88.75000,255 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
ROWW2,ROWLESBURG,39.34220,-79.67060,437 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
PULW3,PULASKI WWTP,44.67830,-88.22750,243 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
PEXM4,PHOENIX FARM,47.37170,-88.25810,385 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
PELW3,PELLA 3SE,44.73580,-88.73780,262 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
OSAI4,OSAGE,43.27940,-92.81060,357 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
NPLI2,NAPERVILLE,41.78470,-88.17030,212 meters,snowfall,2008-02-29 14,3.810,cm,12,hours,
MMCW3,MT. MARY COLLEGE,43.07280,-88.03060,220 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
MDFW3,MEDFORD 1E,45.14250,-90.33250,450 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
KIEW3,KIEL,43.92420,-88.03220,293 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
INDI4,"5MI.ENE INDEPENDANCE,IA",42.48330,-91.81670,306 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
HANW3,EXP FARM,44.11190,-89.53280,335 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
GDRW3,GOODRICH 1E,45.14900,-90.06680,431 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
DIXM5,DIXON LAKE,47.56670,-94.21670,416 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
DENW3,DENMARK WWTP,44.35130,-87.81190,245 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
DDGM5,DODGE CENTER,44.04190,-92.88130,370 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
BURW4,BURGESS JUNCTION,44.77530,-107.52190,2451 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
BTYI2,"BENTLEY,IL",40.33330,-91.11670,205 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
BOWW3,"BOWLER,WI",44.86670,-88.98330,331 meters,snowfall,2008-02-29 15,7.620,cm,24,hours,
BGFW3,"BIG FALLS,WI",45.55000,-90.95000,388 meters,snowfall,2008-02-29 14,7.620,cm,24,hours,
BEAW3,"BEAVER DAM,WI",43.45000,-88.85000,264 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
BEAI2,BEARDSTOWN,40.02030,-90.43670,130 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
ALBW2,ALBRIGHT,39.48920,-79.63640,374 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
8388C_MADIS,"KELLOGG 1.2 NNW, IA",41.73100,-92.92000,279 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
8325C_MADIS,"BRITT 0.7 N, IA",43.10704,-93.80360,372 meters,snowfall,2008-02-29 11,7.620,cm,24,hours,
8083C_MADIS,"BROOKFIELD 1.8 SSE, WI",43.04159,-88.10060,263 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
8077C_MADIS,"HOLY HILL 2 E, WI",43.24215,-88.28890,-9999 meters,snowfall,2008-02-29 11,7.620,cm,24,hours,
7808C_MADIS,"FOND DU LAC 1.0 WSW, WI",43.76747,-88.46440,235 meters,snowfall,2008-02-29 11,7.620,cm,24,hours,
7056C_MADIS,"LAKE FOREST 2.1 NNE, IL",42.26600,-87.84600,217 meters,snowfall,2008-02-29 13,7.620,cm,24,hours,
41.8500_080.2700,EDINBORO (CLE0335),41.85000,-80.27000,347 meters,snowfall,2008-03-01 02,3.810,cm,12,hours,
41.6100_081.0400,MONTVILLE (CLE1322),41.61000,-81.04000,356 meters,snowfall,2008-03-01 02,3.810,cm,12,hours,
40.0603_077.7092,UPPER STRASBURG (19UPPE),40.06028,-77.70917,224 meters,snowfall,2008-03-01 05,7.620,cm,24,hours,
3526C_MADIS,"NORTH JUDSON 5.7 ESE, IN",41.17841,-86.67910,220 meters,snowfall,2008-02-29 12,7.620,cm,24,hours,
MLCW3,GREEN BAY 9 NW MILL CENTER,44.58890,-88.16860,231 meters,snowfall,2008-02-29 15,7.366,cm,24,hours,
ATW,OUTAGAMIE COUNTY AIRPORT,44.25750,-88.51940,266 meters,snowfall,2008-02-29 12,7.366,cm,24,hours,
APPW3,APPLETON,44.27860,-88.43860,242 meters,snowfall,2008-02-29 13,7.366,cm,24,hours,
SPYM5,SPRING VALLEY 3E,43.68080,-92.32850,412 meters,snowfall,2008-02-29 13,7.112,cm,24,hours,
SGVI2,SPRING GROVE,42.46780,-88.23720,258 meters,snowfall,2008-02-29 13,7.112,cm,24,hours,
SEEW3,SOUTH MILWAUKEE WWTP,42.90110,-87.84940,194 meters,snowfall,2008-02-29 13,7.112,cm,24,hours,
PMYW3,PALMYRA,42.84440,-88.55170,291 meters,snowfall,2008-02-29 13,7.112,cm,24,hours,
MARM4,"MARSHALL,MI",42.26670,-84.96670,276 meters,snowfall,2008-02-29 14,7.112,cm,24,hours,
APLW3,APPLETON WHBY RADIO,44.25110,-88.36440,235 meters,snowfall,2008-02-29 14,7.112,cm,24,hours,
ADAW3,ADA,43.87690,-87.89420,268 meters,snowfall,2008-02-29 13,7.112,cm,24,hours,
8378C_MADIS,"WATERLOO 1.8 SSE, IA",42.46700,-92.34200,280 meters,snowfall,2008-02-29 10,7.112,cm,24,hours,
8078C_MADIS,"KEWASKUM 1.8 WNW, WI",43.52880,-88.26570,320 meters,snowfall,2008-02-29 12,7.112,cm,24,hours,
41.0264_073.6289,GREENWICH (959GREE),41.02639,-73.62889,34 meters,snowfall,2008-03-01 05,3.556,cm,12,hours,
3921C_MADIS,"ELKHART 3.1 SSE, IN",41.62305,-86.01650,239 meters,snowfall,2008-02-29 15,7.112,cm,24,hours,
Y56W3,MOSINEE-2 SW-HAM,44.77250,-89.73444,349 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
WPAW3,WAUPACA-3 SW - KING,44.33110,-89.14690,287 meters,snowfall,2008-02-29 12,6.858,cm,24,hours,
WFDW3,WATERFORD 1NW,42.78250,-88.22000,241 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
WETW3,"WEST ALLIS,WI",43.01720,-88.00170,228 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
SUAW3,SUAMICO,44.60190,-88.09780,209 meters,snowfall,2008-02-29 14,6.858,cm,24,hours,
STPW3,"STEVENS POINT,WI",44.51670,-89.51670,335 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
RCHW3,"3MI.SSW RICHRIELD,WI",43.21080,-88.20940,324 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
OSNW3,OSHKOSH-NORTH,44.03500,-88.54390,237 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
NAZW3,ST. NAZIANZ-2 W,44.00420,-87.96360,263 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
MOSI2,"1MI.NW MORRIS,IL",41.37390,-88.43360,160 meters,snowfall,2008-02-29 14,6.858,cm,24,hours,
HORW3,HORICON WWTP,43.45000,-88.63330,264 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
CNTW3,CLINTONVILLE,44.62250,-88.76500,251 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
CGGI4,BUFFALO CRK,42.27920,-91.52500,278 meters,snowfall,2008-02-29 13,6.858,cm,24,hours,
CARW3,CARLSVILLE,44.95920,-87.34250,231 meters,snowfall,2008-02-29 15,6.858,cm,24,hours,
5853C_MADIS,"OSHKOSH 1.3 NNE, WI",44.03500,-88.54350,238 meters,snowfall,2008-02-29 12,6.858,cm,24,hours,
5540C_MADIS,"PALATINE 2.7 NNE, IL",42.14684,-88.01970,227 meters,snowfall,2008-02-29 12,6.858,cm,24,hours,
Y12W3,STEVENS POINT-WHITING,44.49638,-89.54416,333 meters,snowfall,2008-02-29 13,6.604,cm,24,hours,
WROW3,WILD ROSE-6 NE-TWIN LAKES,44.23190,-89.14360,287 meters,snowfall,2008-02-29 15,6.604,cm,24,hours,
SBLI2,SOUTH BELOIT,42.45720,-89.00060,237 meters,snowfall,2008-02-29 12,3.302,cm,12,hours,
FRAW3,FRANCIS CREEK,44.20060,-87.71920,222 meters,snowfall,2008-02-29 12,6.604,cm,24,hours,
FNKW3,FRANKSVILLE,42.80110,-87.89310,228 meters,snowfall,2008-02-29 13,6.604,cm,24,hours,
AMDW3,ALMOND-5 NE,44.30830,-89.34640,358 meters,snowfall,2008-02-29 14,6.604,cm,24,hours,
9116C_MADIS,"WEST HAZLETON 3.2 NNE, PA",41.01667,-76.00000,341 meters,snowfall,2008-03-01 04,6.604,cm,24,hours,
8482C_MADIS,"SABULA 4.4 WNW, IA",42.08575,-90.25690,252 meters,snowfall,2008-02-29 12,6.604,cm,24,hours,
4856C_MADIS,"SUGAR GROVE 0.7 NE, IL",41.77622,-88.44780,-9999 meters,snowfall,2008-02-29 12,6.604,cm,24,hours,
40.9311_073.8992,YONKERS (568YON),40.93111,-73.89917,28 meters,snowfall,2008-03-01 06,6.604,cm,24,hours,
40.6975_074.2636,UNION (732UNI),40.69750,-74.26361,34 meters,snowfall,2008-03-01 05,3.302,cm,12,hours,
40.6619_074.2917,CRANFORD JUNCTION (455CRAN),40.66194,-74.29167,30 meters,snowfall,2008-03-01 05,3.302,cm,12,hours,
Y77W3,MOSINEE-5 SW HAM (REPLACES Y77W3),44.75333,-89.77805,366 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
Y10W3,BIG FLATS,44.11190,-89.76250,306 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
WSHI4,"WASHINGTON,IA",41.28330,-91.68330,229 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
UGRW3,"UNION GROVE,WI",42.70000,-88.03220,229 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
SPVM5,SPRING VALLEY 3SW,43.65670,-92.41000,415 meters,snowfall,2008-02-29 12,6.350,cm,24,hours,
SBEW3,EXP. FARM,44.86670,-87.33330,208 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
PLLW3,PELL LAKE,42.53220,-88.33280,255 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
PKBI4,"PARKERSBURG,IA",42.59250,-92.77860,282 meters,snowfall,2008-02-29 12,6.350,cm,24,hours,
NLDW3,NEW LONDON-WWTP,44.39060,-88.75220,233 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
NHPI4,NEW HAMPTON,43.05750,-92.31220,352 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
NHNW3,NEW HOLSTEIN-EAST-WWTP,43.95310,-88.07720,281 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
MVDM5,MONTEVIDEO 1SW,44.93640,-95.75360,305 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
MKTI4,"2MI.W MAQUOKETA,IA",42.06670,-90.70000,227 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
MKOW3,MUSKEGO,42.85440,-88.16830,250 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
MEDW3,MEDFORD,45.13080,-90.34390,425 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
LWDI4,"LOWDEN,IA",41.86670,-90.93330,225 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
LNCM5,LANCASTER,48.85830,-96.80470,279 meters,snowfall,2008-02-29 12,6.350,cm,24,hours,
JANW3,JANESVILLE-NE-HAM,42.70280,-88.99030,265 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
INCW3,WINCHESTER-2 SW,44.16890,-88.68940,233 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
ILEW3,STILES-1 S,44.84390,-88.05470,200 meters,snowfall,2008-02-29 15,6.350,cm,24,hours,
HPTI4,"HAMPTON,IA",42.75000,-93.20000,343 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
GBHM5,"GREENBUSH,MN",48.70250,-96.18110,325 meters,snowfall,2008-02-29 12,6.350,cm,24,hours,
FORW3,FORESTVILLE-4E,44.69780,-87.39690,210 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
FIRM5,"FAIRMONT,MN",43.63330,-94.46670,356 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
CLIW3,"2MI.NNW CLINTON,WI",42.60000,-88.88330,264 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
CKSM4,COOKS 2NE,45.94170,-86.44250,235 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
BFDW3,BROOKFIELD,43.05390,-88.17640,252 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
BBDW3,"BIG BEND,WI",42.88140,-88.20670,253 meters,snowfall,2008-02-29 13,6.350,cm,24,hours,
ARLW3,UNIV FARM,43.30000,-89.35000,318 meters,snowfall,2008-02-29 14,6.350,cm,24,hours,
